売上日,伝票番号,取引区分,締切,得意先コード,得意先名,税転嫁,納入先コード,納入先名,担当者コード,担当者名,内訳,出荷,商品コード,商品名/摘要,単位,入数,ケース,倉庫コード,倉庫名,数量,原単価,単価,粗利益,金額,主プロジェクトコード,副プロジェクトコード,プロジェクト名,課税区分,備考,見積番号,受注番号
2017年04月03日,00003751,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,NO290054YB,R6610,反,0 ,0 ,0000,共通倉庫,30 ,"7,330 ","8,100 ","23,100 ","243,000 ",,,,課税 8.0%,4/3    04-0001,,
2017年04月03日,00003751,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"19,440 ",,,,,,,
2017年04月03日,00003764,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/290172ZA,R8490,反,0 ,0 ,0000,共通倉庫,42 ,"14,160 ","15,350 ","49,980 ","644,700 ",,,,課税 8.0%,4/3    04-0004,,
2017年04月03日,00003764,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/290172ZX,R8490,反,0 ,0 ,0000,共通倉庫,14 ,"14,160 ","15,350 ","16,660 ","214,900 ",,,,課税 8.0%,4/3    04-0004,,
2017年04月03日,00003764,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"68,768 ",,,,,,,
2017年04月01日,00003781,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9595 14.7M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,372,,
2017年04月01日,00003781,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9596 15.2M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,372,,
2017年04月01日,00003781,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"4,800 ",,,,,,,
2017年04月01日,00003782,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9650 19.7M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,371,,
2017年04月01日,00003782,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9651 19.6M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,371,,
2017年04月01日,00003782,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9732 19.6M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,371,,
